Id,VariableName,Description,AssetType,Manufacturer,RailroadId,VariableType,ParsingRule,ParsingStructure
0x0000 ,Initialization Time,Time at which the process was initialized (which process is dependent on the defined default or the context of the event) ,Others,Others,Others,integer,unix time,{}
0x0001 ,Total ISMP Messages Received,Count of total ISMP messages received since the last reset of the variable ,Others,Others,Others,integer,count,{}
0x0002 ,Last ISMP Message Received Time,Time when the last ISMP message was received (not counting current request) ,Others,Others,Others,integer,unix time,{}
0x0003 ,Total ISMP Messages Sent,Count of total ISMP messages sent since the last reset of the variable ,Others,Others,Others,integer,count,{}
0x0004 ,Last ISMP Message Sent Time,Time when the last ISMP message was sent  ,Others,Others,Others,integer,unix time,{}
0x0005 ,Total ISMP Protocol Errors,Total number of ISMP messages that failed due to ISMP protocol errors since the last reset of the variable  ,Others,Others,Others,integer,count,{}
0x0006 ,Total ISMP Authentication Errors,Total number of ISMP messages that failed due to SMPK authentication since the last reset of the variable ,Others,Others,Others,integer,count,{}
0x0007 ,Total ISMP Data Integrity Errors,Total number of ISMP messages that failed due to SMPK or EMP CRC data integrity errors since the last reset of the variable ,Others,Others,Others,integer,count,{}
0x0008 ,Total ISMP Other Errors,"Total number of errors not including ISMP Authentication, ISMP Protocol or ISMP Data Integrity errors",Others,Others,Others,integer,count,{}
0x0009 ,ISMP Statistics Reset Time,Time of last ISMP statistics reset ,Others,Others,Others,integer,unix time,{}
0x000a ,Configuration Parameter Errors,List of software configuration errors.  Repeated for each parameter.,Others,Others,Others,string,string,{}
0x000b ,Hardware Type ,"Indicates the type of hardware (for example, Locomotive Radio) ",Others,Others,Others,string,string,{}
0x000c ,Hardware Vendor ,Vendor  ,Others,Others,Others,string,string,{}
0x000d ,Hardware Model ,Model  ,Others,Others,Others,string,string,{}
0x000e ,Hardware Version ,Version  ,Others,Others,Others,string,string,{}
0x000f ,Hardware Version Date ,Version date ,Others,Others,Others,string,string,{}
0x0010 ,Hardware Serial Number ,Serial number  ,Others,Others,Others,string,string,{}
0x0011 ,Hardware Manufacturer ,Manufacturer  ,Others,Others,Others,string,string,{}
0x0012 ,Software Type ,"Indicates the type of software (for example, OS, application or utility), set depending on the context of the event ",Others,Others,Others,string,string,{}
0x0013 ,Software Vendor ,Vendor ,Others,Others,Others,string,string,{}
0x0014 ,Software Model ,"Model (for example, workstation, server or professional)  ",Others,Others,Others,string,string,{}
0x0015 ,Software Version ,Version  ,Others,Others,Others,string,string,{}
0x0016 ,Software Version Date ,Version date  ,Others,Others,Others,string,string,{}
0x0017 ,Software Install Date ,Install date  ,Others,Others,Others,string,string,{}
0x0018 ,Software Serial Number ,Serial number  ,Others,Others,Others,string,string,{}
0x0019 ,Software Manufacturer ,Manufacturer  ,Others,Others,Others,string,string,{}
0x001a ,Active Software Kit ID ,Active Software Kit ID  ,Others,Others,Others,string,string,{}
0x001b ,Active Configuration Kit ID ,Active Configuration Kit ID ,Others,Others,Others,string,string,{}
0x001c ,Total Out-of-System Logins ,Count of total out-of-system logins since the last out of system login statistics reset time ,Others,Others,Others,integer,count,{}
0x001d ,Total Failed Out-of-System Logins ,Count of total failed out-of-system logins since the last out-of-system login statistics reset time ,Others,Others,Others,integer,count,{}
0x001e ,Out-of-System Login Reset Time ,Time when out-of-system login statistics were last reset ,Others,Others,Others,integer,unix time,{}
0x001f ,Uptime ,The uptime in minutes of the operating environment ,Others,Others,Others,integer,minutes,{}
0x0020 ,GPS location  ,Location of the asset at the time of event or status generation ,Others,Others,Others,string,string,{}
0x0021,Time Synchronization,Time Synchronization,Others,Others,Others,integer,unix time,{}
0x0022,Total Memory,Total Memory,Others,Others,Others,integer,MB,{}
0x0023,Available Free Memory,Available Free Memory,Others,Others,Others,integer,MB,{}
0x0024,Total Storage,Total Storage,Others,Others,Others,integer,MB,{}
0x0025,Available Free Storage,Available Free Storage,Others,Others,Others,integer,MB,{}
0x0026,Security State,Security State,Others,Others,Others,string,string,{}
0x0027,System Contact,Contact information,Others,Others,Others,string,string,{}
0x0028,Fragmented File Transfer Status,Fragment numbers that have been successfully sent or received,Others,Others,Others,string,string,{}
